time,lon,lat
20160920_135902,-54.298,54.5153
20160920_140201,-54.2974,54.5152
20160920_140639,-54.2963,54.5151
20160920_140928,-54.2958,54.5151
20160920_141606,-54.2944,54.515
20160920_141845,-54.2936,54.5148
20160920_142229,-54.2925,54.5149
20160920_142451,-54.2918,54.5149
20160920_142941,-54.2907,54.5147
20160920_143233,-54.2903,54.5145
20160920_143652,-54.2894,54.5144
20160920_143926,-54.2888,54.5144
20160920_144441,-54.2872,54.5144
20160920_144720,-54.2864,54.5142
20160920_145153,-54.2854,54.5139
20160920_145501,-54.2843,54.5141
20160920_145952,-54.2827,54.5144
20160920_150239,-54.2817,54.5144
20160920_150621,-54.2802,54.5142
20160920_150849,-54.2798,54.5142
20160920_152309,-54.2764,54.5132
20160920_152548,-54.2759,54.5129
20160920_153025,-54.275,54.5126
20160920_153400,-54.2744,54.5124
20160920_154025,-54.2728,54.5123
20160920_154528,-54.2712,54.5123
20160920_155032,-54.2697,54.5123
20160920_155423,-54.2686,54.5123
20160920_155927,-54.2673,54.5113
20160920_160157,-54.2664,54.5112
20160920_160508,-54.2651,54.5112
20160920_160812,-54.2637,54.5112
20160920_161211,-54.2623,54.511
20160920_161523,-54.2612,54.511
20160920_162024,-54.2595,54.5105
20160920_162344,-54.2585,54.5104
20160920_162752,-54.2575,54.5102
20160920_163012,-54.2568,54.5101
20160920_163405,-54.2557,54.5098
20160920_163712,-54.2548,54.5095
20160920_164103,-54.254,54.51
20160920_164335,-54.253,54.5094
20160920_164738,-54.2517,54.5088
20160920_164958,-54.2509,54.5087
20160920_165430,-54.2495,54.5084
20160920_165646,-54.2489,54.5081
20160920_170057,-54.248,54.5081
20160920_170415,-54.2469,54.5078
20160920_170822,-54.2457,54.5075
20160920_171200,-54.2448,54.5073
20160920_171701,-54.2434,54.5068
20160920_171954,-54.2425,54.5064
20160920_172330,-54.2412,54.5059
20160920_172628,-54.2405,54.5058
20160920_172948,-54.2397,54.5057
20160920_173351,-54.2386,54.5054
20160920_173917,-54.2368,54.5051
20160920_174227,-54.2361,54.5048
20160920_174608,-54.2354,54.5044
20160920_174849,-54.2348,54.5042
20160920_175253,-54.2336,54.5036
20160920_175641,-54.233,54.5037
20160920_180157,-54.2322,54.5033
20160920_180546,-54.2313,54.5029
20160920_181108,-54.2301,54.5023
20160920_181333,-54.2296,54.5019
20160920_181811,-54.2286,54.5015
20160920_182137,-54.228,54.5011
20160920_182637,-54.2273,54.5006
20160920_183019,-54.2266,54.5001
20160920_183451,-54.2257,54.4996
20160920_183836,-54.2253,54.4995
20160920_184414,-54.2248,54.4992
20160920_184640,-54.2241,54.4989
20160920_184952,-54.2233,54.4987
20160920_185242,-54.2225,54.4987
20160920_185658,-54.2219,54.4985
20160920_190107,-54.2213,54.4984
20160920_190539,-54.2207,54.4982
20160920_190815,-54.2203,54.498
20160920_191138,-54.2198,54.4978
20160920_191357,-54.2191,54.4979
20160920_191815,-54.2184,54.498
20160920_192155,-54.2179,54.4976
20160920_192906,-54.2174,54.4975
20160920_193653,-54.2166,54.4974
20160920_194320,-54.2159,54.4971
20160920_194559,-54.2158,54.4969
20160920_195044,-54.2157,54.4965
20160920_195334,-54.2156,54.4962
20160920_195815,-54.2158,54.4956
20160920_200139,-54.2155,54.4956
20160920_200606,-54.2154,54.4959
20160920_200836,-54.2155,54.4959
20160920_201216,-54.2156,54.4958
20160920_201540,-54.2155,54.4958
20160920_201951,-54.2156,54.4957
20160920_202355,-54.2156,54.4956
20160920_202906,-54.2161,54.4955
20160920_203211,-54.216,54.4953
20160920_203649,-54.2162,54.4952
20160920_203954,-54.216,54.4952
20160920_204442,-54.2162,54.4953
20160920_204728,-54.2163,54.4954
20160920_205147,-54.2163,54.4952
20160920_205414,-54.2162,54.4953
20160920_205745,-54.216,54.4955
20160920_210048,-54.2158,54.4957
